时间,成交价,手数,买卖盘性质
09:15:00,4.98,125,0
09:15:09,5.11,262,0
09:15:27,5.11,262,0
09:15:36,5.11,262,0
09:15:45,5.11,262,0
09:15:54,5.11,267,0
09:16:03,5.11,292,0
09:16:12,5.06,365,0
09:16:30,4.98,755,0
09:16:48,4.98,770,0
09:17:06,4.93,770,0
09:17:15,4.98,770,0
09:17:24,4.98,770,0
09:17:33,4.98,770,0
09:17:42,4.98,820,0
09:17:51,4.98,826,0
09:18:09,4.98,844,0
09:18:27,5.09,1209,0
09:18:45,5.0,654,0
09:18:54,5.09,317,0
09:19:30,5.09,319,0
09:19:39,5.06,400,0
09:19:57,5.06,400,0
09:20:09,5.06,400,0
09:20:36,5.06,400,0
09:20:45,5.06,400,0
09:20:54,5.06,400,0
09:21:21,5.06,400,0
09:21:39,5.02,527,0
09:21:57,5.02,758,0
09:22:06,5.02,791,0
09:22:15,5.01,858,0
09:22:24,5.0,919,0
09:22:33,5.0,945,0
09:22:42,5.0,949,0
09:22:51,5.0,952,0
09:23:00,5.0,955,0
09:23:18,5.02,984,0
09:23:27,5.02,993,0
09:23:36,5.02,1044,0
09:23:45,5.03,1044,0
09:23:54,5.03,1044,0
09:24:03,5.03,1054,0
09:24:21,5.03,1092,0
09:24:30,5.06,1157,0
09:24:39,5.06,1183,0
09:24:48,5.06,1325,0
09:24:57,5.06,2021,0
09:25:00,5.06,2550,1
09:30:00,5.09,1265,1
09:30:03,5.09,2038,1
09:30:06,5.04,340,-1
09:30:09,5.05,36,1
09:30:12,5.04,162,-1
09:30:15,5.05,101,1
09:30:18,5.06,88,-1
09:30:21,5.05,7,-1
09:30:24,5.04,188,-1
09:30:27,5.04,373,-1
09:30:30,5.04,19,-1
09:30:33,5.04,165,1
09:30:36,5.03,31,-1
09:30:39,5.03,54,-1
09:30:42,5.03,5,-1
09:30:45,5.03,155,1
09:30:48,5.03,297,1
09:30:51,5.02,68,-1
09:30:54,5.01,39,-1
09:30:57,5.01,647,-1
09:31:00,5.01,125,-1
09:31:03,5.01,389,-1
09:31:06,5.01,84,1
09:31:09,5.0,709,-1
09:31:12,4.99,235,-1
09:31:15,4.98,233,-1
09:31:18,4.97,378,-1
09:31:21,4.96,113,-1
09:31:24,4.97,758,1
09:31:27,4.95,737,-1
09:31:30,4.95,189,-1
09:31:33,4.96,1637,1
09:31:36,4.96,179,-1
09:31:39,4.96,266,-1
09:31:42,4.96,283,1
09:31:45,4.95,97,-1
09:31:48,4.96,183,1
09:31:51,4.97,6,1
09:31:54,4.96,30,-1
09:31:57,4.96,107,-1
09:32:00,4.96,258,-1
09:32:03,4.98,1039,1
09:32:06,4.98,211,1
09:32:09,4.95,1159,-1
09:32:12,4.94,376,-1
09:32:15,4.94,5,1
09:32:18,4.92,43,-1
09:32:21,4.92,70,-1
09:32:24,4.92,84,-1
09:32:27,4.92,25,1
09:32:30,4.93,752,1
09:32:33,4.93,286,1
09:32:36,4.94,498,1
09:32:39,4.94,83,-1
09:32:42,4.94,37,-1
09:32:45,4.94,115,-1
09:32:48,4.95,236,1
09:32:51,4.94,758,-1
09:32:54,4.94,111,-1
09:32:57,4.94,180,-1
09:33:00,4.93,53,-1
09:33:03,4.94,233,1
09:33:06,4.94,91,1
09:33:09,4.94,37,1
09:33:12,4.93,101,-1
09:33:15,4.93,140,-1
09:33:18,4.93,54,-1
09:33:21,4.93,61,-1
09:33:24,4.93,140,-1
09:33:27,4.93,31,-1
09:33:30,4.94,111,1
09:33:33,4.94,61,1
09:33:36,4.94,387,1
09:33:39,4.94,282,1
09:33:42,4.94,153,1
09:33:45,4.94,40,-1
09:33:48,4.94,77,-1
09:33:51,4.93,43,-1
09:33:54,4.93,104,-1
09:33:57,4.93,457,1
09:34:00,4.92,19,-1
09:34:03,4.91,168,-1
09:34:06,4.92,55,1
09:34:09,4.92,118,-1
09:34:12,4.93,87,1
09:34:15,4.91,85,-1
09:34:18,4.92,13,-1
09:34:21,4.91,226,-1
09:34:24,4.92,68,1
09:34:27,4.91,70,-1
09:34:30,4.91,487,-1
09:34:33,4.91,48,-1
09:34:36,4.93,601,1
09:34:39,4.91,22,-1
09:34:42,4.92,43,-1
09:34:45,4.91,131,-1
09:34:48,4.92,37,1
09:34:51,4.92,80,-1
09:34:54,4.92,31,-1
09:34:57,4.92,3,-1
09:35:00,4.93,18,1
09:35:03,4.92,214,-1
09:35:06,4.92,78,1
09:35:09,4.92,56,1
09:35:12,4.92,31,1
09:35:15,4.92,141,1
09:35:18,4.92,181,1
09:35:21,4.92,87,1
09:35:24,4.91,194,-1
09:35:30,4.91,380,-1
09:35:33,4.91,75,-1
09:35:36,4.92,264,1
09:35:39,4.92,331,1
09:35:42,4.91,116,-1
09:35:45,4.91,51,-1
09:35:48,4.92,71,1
09:35:51,4.91,23,-1
09:35:54,4.91,43,-1
09:35:57,4.91,375,-1
09:36:03,4.92,25,1
09:36:06,4.92,153,1
09:36:09,4.92,16,1
09:36:12,4.91,22,-1
09:36:15,4.91,166,-1
09:36:18,4.92,51,1
09:36:21,4.92,142,1
09:36:24,4.92,26,1
09:36:27,4.92,20,-1
09:36:30,4.93,47,1
09:36:33,4.92,131,-1
09:36:36,4.93,7,1
09:36:39,4.94,151,1
09:36:42,4.93,45,-1
09:36:45,4.94,11,1
09:36:48,4.93,19,-1
09:36:51,4.94,129,1
09:36:54,4.94,81,1
09:36:57,4.94,42,1
09:37:00,4.95,77,1
09:37:03,4.94,85,-1
09:37:06,4.95,17,1
09:37:09,4.95,20,1
09:37:12,4.95,20,-1
09:37:15,4.96,2,1
09:37:18,4.96,25,1
09:37:21,4.96,165,-1
09:37:24,4.96,18,-1
09:37:27,4.99,264,1
09:37:30,4.97,355,-1
09:37:33,4.97,39,1
09:37:36,4.97,44,1
09:37:39,4.97,80,1
09:37:42,4.97,103,1
09:37:45,4.97,10,1
09:37:48,4.97,67,1
09:37:51,4.96,21,-1
09:37:54,4.95,92,-1
09:37:57,4.94,106,-1
09:38:00,4.94,3,1
09:38:03,4.93,282,-1
09:38:06,4.93,425,-1
09:38:09,4.93,13,1
09:38:12,4.93,85,1
09:38:15,4.92,49,-1
09:38:18,4.92,50,-1
09:38:21,4.93,63,1
09:38:24,4.92,1068,-1
09:38:27,4.91,85,-1
09:38:30,4.91,215,-1
09:38:33,4.92,188,1
09:38:36,4.92,112,-1
09:38:39,4.92,32,1
09:38:42,4.92,18,1
09:38:45,4.92,17,1
09:38:48,4.92,48,1
09:38:51,4.92,32,-1
09:38:54,4.92,1,-1
09:38:57,4.92,117,-1
09:39:00,4.93,106,1
