time:09:59:30
b4v,241400.0
b5,4.2
b5v,461500.0
最新,4.25
均价,4.23
涨幅,1.43
涨跌,0.06
总手,89562.0
金额,37878534.0
换手,0.09
量比,1.48
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50098.0
内盘,39464.0

time:10:00:30
s5,4.29
s5v,255100.0
s4,4.28
s4v,511000.0
s3,4.27
s3v,572500.0
s2,4.26
s2v,445800.0
s1,4.25
s1v,342200.0
b1,4.24
b1v,203800.0
b2,4.23
b2v,311400.0
b3,4.22
b3v,223400.0
b4,4.21
b4v,241400.0
b5,4.2
b5v,461500.0
最新,4.25
均价,4.23
涨幅,1.43
涨跌,0.06
总手,89574.0
金额,37883623.0
换手,0.09
量比,1.48
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50098.0
内盘,39476.0

time:10:00:36
s5,4.29
s5v,255100.0
s4,4.28
s4v,511000.0
s3,4.27
s3v,576500.0
s2,4.26
s2v,443300.0
s1,4.25
s1v,339800.0
b1,4.24
b1v,184300.0
b2,4.23
b2v,311400.0
b3,4.22
b3v,223400.0
b4,4.21
b4v,241400.0
b5,4.2
b5v,461500.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,89822.0
金额,37988802.0
换手,0.09
量比,1.48
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50126.0
内盘,39696.0

time:10:00:42
s5,4.29
s5v,255100.0
s4,4.28
s4v,511000.0
s3,4.27
s3v,576500.0
s2,4.26
s2v,443300.0
s1,4.25
s1v,352600.0
b1,4.24
b1v,176900.0
b2,4.23
b2v,311400.0
b3,4.22
b3v,223400.0
b4,4.21
b4v,241400.0
b5,4.2
b5v,461500.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,89925.0
金额,38032476.0
换手,0.09
量比,1.48
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50128.0
内盘,39797.0

time:10:00:48
s5,4.29
s5v,255100.0
s4,4.28
s4v,511000.0
s3,4.27
s3v,579500.0
s2,4.26
s2v,443300.0
s1,4.25
s1v,354300.0
b1,4.24
b1v,175000.0
b2,4.23
b2v,311400.0
b3,4.22
b3v,223400.0
b4,4.21
b4v,241400.0
b5,4.2
b5v,461500.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,89944.0
金额,38040532.0
换手,0.09
量比,1.48
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50128.0
内盘,39816.0

time:10:00:54
s5,4.29
s5v,255100.0
s4,4.28
s4v,511000.0
s3,4.27
s3v,579500.0
s2,4.26
s2v,443300.0
s1,4.25
s1v,354300.0
b1,4.24
b1v,167300.0
b2,4.23
b2v,311400.0
b3,4.22
b3v,223400.0
b4,4.21
b4v,241400.0
b5,4.2
b5v,461500.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,90020.0
金额,38072756.0
换手,0.09
量比,1.49
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50128.0
内盘,39892.0

time:10:01:00
s5,4.29
s5v,255100.0
s4,4.28
s4v,511000.0
s3,4.27
s3v,579500.0
s2,4.26
s2v,448300.0
s1,4.25
s1v,354200.0
b1,4.24
b1v,174900.0
b2,4.23
b2v,311400.0
b3,4.22
b3v,223400.0
b4,4.21
b4v,241400.0
b5,4.2
b5v,461500.0
最新,4.25
均价,4.23
涨幅,1.43
涨跌,0.06
总手,90023.0
金额,38074031.0
换手,0.09
量比,1.44
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50128.0
内盘,39895.0

time:10:01:06
s5,4.29
s5v,255100.0
s4,4.28
s4v,511000.0
s3,4.27
s3v,580800.0
s2,4.26
s2v,448300.0
s1,4.25
s1v,352000.0
b1,4.24
b1v,155500.0
b2,4.23
b2v,311400.0
b3,4.22
b3v,223400.0
b4,4.21
b4v,243100.0
b5,4.2
b5v,461500.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,90117.0
金额,38113892.0
换手,0.09
量比,1.44
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50135.0
内盘,39982.0

time:10:01:11
s5,4.29
s5v,255100.0
s4,4.28
s4v,511000.0
s3,4.27
s3v,580800.0
s2,4.26
s2v,448300.0
s1,4.25
s1v,356300.0
b1,4.24
b1v,153000.0
b2,4.23
b2v,311400.0
b3,4.22
b3v,223400.0
b4,4.21
b4v,243100.0
b5,4.2
b5v,461500.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,90147.0
金额,38126612.0
换手,0.09
量比,1.44
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50136.0
内盘,40011.0

time:10:01:17
s5,4.28
s5v,511000.0
s4,4.27
s4v,552600.0
s3,4.26
s3v,447500.0
s2,4.25
s2v,329400.0
s1,4.24
s1v,106800.0
b1,4.23
b1v,307400.0
b2,4.22
b2v,223400.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,477800.0
b5,4.19
b5v,121400.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,91976.0
金额,38901920.0
换手,0.09
量比,1.47
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50164.0
内盘,41812.0

time:10:01:23
s5,4.28
s5v,511000.0
s4,4.27
s4v,552600.0
s3,4.26
s3v,448000.0
s2,4.25
s2v,341200.0
s1,4.24
s1v,104800.0
b1,4.23
b1v,340500.0
b2,4.22
b2v,223400.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,477800.0
b5,4.19
b5v,121400.0
最新,4.23
均价,4.23
涨幅,0.95
涨跌,0.04
总手,91999.0
金额,38911664.0
换手,0.09
量比,1.47
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50186.0
内盘,41813.0

time:10:01:29
s5,4.28
s5v,507500.0
s4,4.27
s4v,537800.0
s3,4.26
s3v,446000.0
s2,4.25
s2v,323500.0
s1,4.24
s1v,116500.0
b1,4.23
b1v,324500.0
b2,4.22
b2v,223400.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,477800.0
b5,4.19
b5v,121400.0
最新,4.23
均价,4.23
涨幅,0.95
涨跌,0.04
总手,92011.0
金额,38916740.0
换手,0.09
量比,1.47
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50199.0
内盘,41812.0

time:10:01:35
s5,4.28
s5v,507500.0
s4,4.27
s4v,537800.0
s3,4.26
s3v,446000.0
s2,4.25
s2v,334900.0
s1,4.24
s1v,212900.0
b1,4.23
b1v,306100.0
b2,4.22
b2v,223400.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,476800.0
b5,4.19
b5v,121400.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,92026.0
金额,38923088.0
换手,0.09
量比,1.47
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50199.0
内盘,41827.0

time:10:01:41
s5,4.28
s5v,507500.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,441000.0
s2,4.25
s2v,332700.0
s1,4.24
s1v,223900.0
b1,4.23
b1v,318200.0
b2,4.22
b2v,223400.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,304000.0
b5,4.19
b5v,121400.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,92043.0
金额,38930293.0
换手,0.09
量比,1.47
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50202.0
内盘,41841.0

time:10:01:47
s5,4.28
s5v,508500.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,442500.0
s2,4.25
s2v,330500.0
s1,4.24
s1v,237900.0
b1,4.23
b1v,302400.0
b2,4.22
b2v,223400.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,314000.0
b5,4.19
b5v,121400.0
最新,4.23
均价,4.23
涨幅,0.95
涨跌,0.04
总手,92205.0
金额,38998819.0
换手,0.09
量比,1.47
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50216.0
内盘,41989.0

time:10:01:53
s5,4.28
s5v,508500.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,442500.0
s2,4.25
s2v,333500.0
s1,4.24
s1v,238900.0
b1,4.23
b1v,303200.0
b2,4.22
b2v,223400.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,314000.0
b5,4.19
b5v,121400.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,92206.0
金额,38999243.0
换手,0.09
量比,1.47
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50217.0
内盘,41989.0

time:10:01:59
s5,4.28
s5v,508500.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,442500.0
s2,4.25
s2v,317100.0
s1,4.24
s1v,251600.0
b1,4.23
b1v,320300.0
b2,4.22
b2v,223400.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,320000.0
b5,4.19
b5v,121400.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,92206.0
金额,38999243.0
换手,0.09
量比,1.47
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50217.0
内盘,41989.0

time:10:02:06
s5,4.28
s5v,508500.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,443000.0
s2,4.25
s2v,314900.0
s1,4.24
s1v,259900.0
b1,4.23
b1v,320900.0
b2,4.22
b2v,223400.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,320200.0
b5,4.19
b5v,294600.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,92310.0
金额,39043318.0
换手,0.09
量比,1.43
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50219.0
内盘,42091.0

time:10:02:12
s5,4.28
s5v,508500.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,443000.0
s2,4.25
s2v,311700.0
s1,4.24
s1v,260100.0
b1,4.23
b1v,323900.0
b2,4.22
b2v,226800.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,320200.0
b5,4.19
b5v,294600.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,92310.0
金额,39043318.0
换手,0.09
量比,1.43
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50300.0
内盘,42010.0

time:10:02:18
s5,4.28
s5v,509000.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,443000.0
s2,4.25
s2v,308000.0
s1,4.24
s1v,267300.0
b1,4.23
b1v,318300.0
b2,4.22
b2v,221800.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,320200.0
b5,4.19
b5v,294600.0
最新,4.23
均价,4.23
涨幅,0.95
涨跌,0.04
总手,92372.0
金额,39069544.0
换手,0.09
量比,1.43
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50300.0
内盘,42072.0

time:10:02:24
s5,4.28
s5v,509000.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,443000.0
s2,4.25
s2v,308000.0
s1,4.24
s1v,268200.0
b1,4.23
b1v,315600.0
b2,4.22
b2v,221800.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,320200.0
b5,4.19
b5v,295600.0
最新,4.23
均价,4.23
涨幅,0.95
涨跌,0.04
总手,92453.0
金额,39103807.0
换手,0.09
量比,1.43
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50300.0
内盘,42153.0

time:10:02:30
s5,4.28
s5v,509000.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,443000.0
s2,4.25
s2v,308000.0
s1,4.24
s1v,263100.0
b1,4.23
b1v,311200.0
b2,4.22
b2v,221800.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,320200.0
b5,4.19
b5v,295600.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,92548.0
金额,39144043.0
换手,0.09
量比,1.44
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50351.0
内盘,42197.0

time:10:02:36
s5,4.28
s5v,509000.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,443000.0
s2,4.25
s2v,308000.0
s1,4.24
s1v,267800.0
b1,4.23
b1v,307600.0
b2,4.22
b2v,216800.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,320200.0
b5,4.19
b5v,295600.0
最新,4.23
均价,4.23
涨幅,0.95
涨跌,0.04
总手,92584.0
金额,39159271.0
换手,0.09
量比,1.44
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50351.0
内盘,42233.0

time:10:02:42
s5,4.28
s5v,509000.0
s4,4.27
s4v,536800.0
s3,4.26
s3v,443000.0
s2,4.25
s2v,303100.0
s1,4.24
s1v,265300.0
b1,4.23
b1v,306200.0
b2,4.22
b2v,216800.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,320200.0
b5,4.19
b5v,295600.0
最新,4.23
均价,4.23
涨幅,0.95
涨跌,0.04
总手,92633.0
金额,39180033.0
换手,0.09
量比,1.44
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50386.0
内盘,42247.0

time:10:02:48
s5,4.28
s5v,509000.0
s4,4.27
s4v,531800.0
s3,4.26
s3v,443000.0
s2,4.25
s2v,296600.0
s1,4.24
s1v,263900.0
b1,4.23
b1v,316200.0
b2,4.22
b2v,216800.0
b3,4.21
b3v,243100.0
b4,4.2
b4v,320200.0
b5,4.19
b5v,295900.0
最新,4.24
均价,4.23
涨幅,1.19
涨跌,0.05
总手,92658.0
金额,39190622.0
换手,0.09
量比,1.44
最高,4.27
最低,4.17
今开,4.18
昨收,4.19
涨停,4.61
跌停,3.77
外盘,50386.0
内盘,42272.0

time:10:02:54
s5,4.28
s5v,511000.0
s4,4.27
s4v,531800.0
s3,4.26
s3v,433900.0
s2,4.25
s2v,295700.0
s1,4.24
s1v,274100.0
b1,4.23
b1v,316100.0
b2,4.22
b2v,216800.0
b3,4.21
b3v,243100.0
b4,4.2
