时间,成交价,手数,买卖盘性质
09:15:01,4.19,1,中性盘
09:15:04,4.16,264,中性盘
09:15:07,4.16,264,中性盘
09:15:10,4.17,264,中性盘
09:15:13,4.21,1714,中性盘
09:15:16,4.21,1715,中性盘
09:15:19,4.21,1715,中性盘
09:15:46,4.21,1715,中性盘
09:16:04,4.21,1715,中性盘
09:16:58,4.21,1715,中性盘
09:18:43,4.21,1715,中性盘
09:18:46,4.21,1715,中性盘
09:18:55,4.21,1715,中性盘
09:19:22,4.21,1723,中性盘
09:19:25,4.19,1108,中性盘
09:19:37,4.19,1108,中性盘
09:19:40,4.19,918,中性盘
09:19:46,4.19,926,中性盘
09:19:52,4.19,997,中性盘
09:20:04,4.19,998,中性盘
09:20:07,4.19,1007,中性盘
09:20:10,4.19,1007,中性盘
09:20:13,4.19,1007,中性盘
09:20:31,4.19,1008,中性盘
09:20:37,4.19,1133,中性盘
09:21:01,4.19,1133,中性盘
09:21:13,4.19,1181,中性盘
09:21:31,4.19,1182,中性盘
09:21:55,4.19,1182,中性盘
09:22:01,4.19,1183,中性盘
09:22:22,4.19,1184,中性盘
09:22:28,4.19,1188,中性盘
09:22:49,4.18,1290,中性盘
09:22:52,4.18,1291,中性盘
09:23:07,4.18,1292,中性盘
09:23:10,4.18,1293,中性盘
09:23:13,4.18,1296,中性盘
09:23:19,4.18,1297,中性盘
09:23:22,4.18,1298,中性盘
09:23:25,4.18,1308,中性盘
09:23:28,4.18,1311,中性盘
09:23:31,4.18,1325,中性盘
09:23:34,4.18,1330,中性盘
09:23:43,4.18,1333,中性盘
09:23:52,4.18,1334,中性盘
09:24:01,4.18,1334,中性盘
09:24:07,4.18,1351,中性盘
09:24:13,4.18,1358,中性盘
09:24:16,4.18,1358,中性盘
09:24:19,4.18,1371,中性盘
09:24:22,4.18,1372,中性盘
09:24:25,4.18,1372,中性盘
09:24:31,4.18,1373,中性盘
09:24:34,4.18,1373,中性盘
09:24:40,4.18,1373,中性盘
09:24:46,4.18,1373,中性盘
09:24:49,4.17,1621,中性盘
09:24:52,4.18,1873,中性盘
09:24:55,4.17,2058,中性盘
09:24:58,4.17,2382,中性盘
09:25:01,4.17,2471,买盘
09:30:01,4.17,1404,买盘
09:30:04,4.16,482,卖盘
09:30:07,4.16,235,卖盘
09:30:10,4.17,695,买盘
09:30:13,4.18,1561,买盘
09:30:16,4.16,2566,卖盘
09:30:19,4.17,657,买盘
09:30:22,4.17,300,买盘
09:30:25,4.18,1970,买盘
09:30:28,4.18,605,卖盘
09:30:31,4.17,872,卖盘
09:30:34,4.17,478,卖盘
09:30:37,4.17,118,卖盘
09:30:40,4.18,107,买盘
09:30:43,4.17,10,卖盘
09:30:46,4.17,13,卖盘
09:30:49,4.17,34,卖盘
09:30:52,4.17,75,卖盘
09:30:55,4.18,602,买盘
09:30:58,4.17,146,卖盘
09:31:01,4.18,254,卖盘
09:31:04,4.18,259,卖盘
09:31:07,4.18,241,卖盘
09:31:10,4.18,605,买盘
09:31:13,4.18,570,买盘
09:31:16,4.18,83,卖盘
09:31:19,4.18,159,卖盘
09:31:22,4.18,157,卖盘
09:31:25,4.18,168,买盘
09:31:28,4.17,14,卖盘
09:31:31,4.17,16,卖盘
09:31:34,4.17,225,卖盘
09:31:37,4.17,81,卖盘
09:31:40,4.18,36,买盘
09:31:43,4.17,64,卖盘
09:31:46,4.17,127,卖盘
09:31:49,4.17,28,卖盘
09:31:52,4.18,32,买盘
09:31:55,4.17,8,卖盘
09:31:58,4.18,891,买盘
