时间,成交价,手数,买卖盘性质
09:15:00,4.25,156,0
09:15:09,4.25,457,0
09:15:18,4.25,416,0
09:15:45,4.25,416,0
09:15:54,4.25,421,0
09:16:03,4.25,421,0
09:16:12,4.25,339,0
09:16:30,4.25,339,0
09:16:48,4.25,339,0
09:16:57,4.25,495,0
09:17:06,4.25,495,0
09:17:15,4.25,495,0
09:17:33,4.25,495,0
09:17:42,4.25,469,0
09:17:51,4.25,525,0
09:18:00,4.25,525,0
09:18:09,4.25,292,0
09:18:45,4.24,292,0
09:19:03,4.22,232,0
09:19:30,4.22,232,0
09:19:48,4.22,252,0
09:20:09,4.22,316,0
09:20:27,4.22,391,0
09:21:12,4.22,391,0
09:21:30,4.22,438,0
09:21:39,4.22,453,0
09:21:48,4.22,487,0
09:22:06,4.22,510,0
09:22:15,4.22,512,0
09:22:24,4.2,533,0
09:23:00,4.2,588,0
09:23:09,4.2,606,0
09:23:18,4.19,617,0
09:23:27,4.19,620,0
09:23:36,4.2,827,0
09:23:45,4.2,869,0
09:23:54,4.2,883,0
09:24:03,4.2,903,0
09:24:12,4.2,905,0
09:24:21,4.2,1027,0
09:24:30,4.2,1462,0
09:24:39,4.2,1640,0
09:24:48,4.22,1940,0
09:24:57,4.22,2254,0
09:25:00,4.25,3197,1
09:30:00,4.26,7110,1
09:30:03,4.26,4779,-1
09:30:06,4.26,327,-1
09:30:09,4.29,67,1
09:30:12,4.27,335,1
09:30:15,4.26,833,-1
09:30:18,4.28,239,-1
09:30:21,4.27,278,-1
09:30:24,4.27,903,1
09:30:27,4.27,1181,1
09:30:30,4.27,152,1
09:30:33,4.28,1303,1
09:30:36,4.29,871,1
09:30:39,4.29,1776,1
09:30:42,4.29,454,1
09:30:45,4.3,363,1
09:30:48,4.3,2197,1
09:30:51,4.3,257,-1
09:30:54,4.31,721,1
09:30:57,4.3,1574,-1
09:31:00,4.3,433,1
09:31:03,4.29,967,-1
09:31:06,4.26,933,-1
09:31:09,4.26,242,-1
09:31:12,4.26,147,1
09:31:15,4.27,2013,1
09:31:18,4.26,42,-1
09:31:21,4.27,254,1
09:31:24,4.27,853,-1
09:31:27,4.27,108,1
09:31:30,4.26,96,-1
09:31:33,4.26,172,-1
09:31:36,4.27,120,1
09:31:39,4.26,282,-1
09:31:42,4.26,234,-1
09:31:45,4.26,85,-1
09:31:48,4.26,87,-1
09:31:51,4.26,119,-1
09:31:54,4.26,180,1
09:31:57,4.26,1752,-1
09:32:00,4.26,542,-1
09:32:03,4.27,169,1
09:32:06,4.27,136,1
09:32:09,4.27,74,1
09:32:12,4.27,885,-1
09:32:15,4.27,63,1
09:32:18,4.27,177,1
09:32:21,4.27,579,1
09:32:24,4.27,383,1
09:32:27,4.27,451,1
09:32:30,4.27,252,1
09:32:33,4.26,119,-1
09:32:36,4.27,322,1
09:32:39,4.26,151,-1
09:32:42,4.26,109,1
09:32:45,4.26,520,1
09:32:48,4.27,515,1
09:32:51,4.26,740,-1
09:32:54,4.26,797,1
09:32:57,4.26,5,1
09:33:00,4.26,43,1
09:33:03,4.26,36,1
09:33:06,4.25,874,-1
09:33:09,4.26,10,1
09:33:12,4.26,15,1
09:33:15,4.25,69,-1
09:33:18,4.26,83,1
09:33:21,4.26,76,1
09:33:24,4.25,326,-1
09:33:27,4.25,53,-1
09:33:30,4.25,27,-1
09:33:33,4.26,72,1
09:33:36,4.25,253,-1
09:33:39,4.25,184,-1
09:33:42,4.25,47,1
09:33:45,4.25,242,1
09:33:48,4.24,154,-1
09:33:51,4.24,85,-1
09:33:54,4.25,50,1
09:33:57,4.24,219,-1
09:34:00,4.24,33,-1
09:34:03,4.24,16,1
09:34:06,4.23,29,-1
09:34:09,4.24,51,1
09:34:12,4.23,102,-1
09:34:15,4.24,42,1
09:34:18,4.23,790,-1
09:34:21,4.22,247,-1
09:34:24,4.21,40,-1
09:34:27,4.21,23,-1
09:34:30,4.21,13,-1
09:34:33,4.21,109,-1
09:34:36,4.21,66,-1
09:34:39,4.22,49,1
09:34:42,4.22,131,1
09:34:45,4.22,79,1
09:34:48,4.22,1,1
09:34:51,4.22,85,1
09:34:54,4.22,37,-1
09:34:57,4.22,17,-1
09:35:00,4.22,37,-1
09:35:03,4.22,247,-1
09:35:06,4.22,235,-1
09:35:09,4.24,839,1
09:35:12,4.24,471,1
09:35:15,4.23,36,-1
09:35:18,4.25,566,1
09:35:21,4.24,57,-1
09:35:24,4.25,550,1
09:35:27,4.25,106,1
09:35:30,4.24,126,-1
09:35:33,4.23,614,-1
09:35:36,4.24,50,1
09:35:39,4.24,2569,1
09:35:42,4.24,3,1
09:35:45,4.24,64,1
09:35:48,4.23,6,-1
09:35:51,4.24,337,1
09:35:54,4.23,690,-1
09:35:57,4.22,201,-1
09:36:00,4.22,28,1
09:36:03,4.22,221,1
09:36:06,4.22,98,1
09:36:09,4.22,155,1
09:36:12,4.21,176,-1
09:36:15,4.21,53,-1
09:36:18,4.22,119,1
09:36:21,4.22,58,-1
09:36:24,4.22,229,-1
09:36:27,4.22,125,-1
09:36:30,4.21,35,-1
09:36:39,4.22,170,1
09:36:42,4.21,271,-1
09:36:45,4.21,345,-1
09:36:48,4.21,104,-1
09:36:54,4.21,10,1
09:36:57,4.2,2426,-1
09:37:00,4.2,24,-1
09:37:03,4.2,12,-1
09:37:06,4.2,9,-1
09:37:09,4.2,22,-1
09:37:12,4.21,538,1
09:37:15,4.2,54,1
09:37:18,4.19,35,-1
09:37:21,4.2,15,1
09:37:24,4.19,377,-1
09:37:27,4.2,94,1
09:37:30,4.19,175,-1
09:37:33,4.19,1096,-1
09:37:36,4.19,29,-1
09:37:39,4.2,40,1
09:37:42,4.2,75,-1
09:37:45,4.21,88,1
09:37:48,4.2,73,-1
09:37:57,4.21,392,1
09:38:00,4.21,41,-1
09:38:03,4.21,82,-1
09:38:06,4.22,213,1
09:38:09,4.21,68,-1
09:38:12,4.21,45,-1
09:38:15,4.22,853,1
09:38:27,4.22,27,1
09:38:30,4.22,7,1
09:38:36,4.22,97,1
09:38:39,4.22,25,1
09:38:42,4.22,68,1
09:38:45,4.22,38,1
09:38:48,4.22,1,-1
09:38:51,4.23,60,1
09:38:54,4.23,2,1
09:39:00,4.23,22,1
09:39:03,4.22,119,-1
09:39:06,4.23,260,1
09:39:12,4.22,84,1
09:39:15,4.22,17,1
09:39:18,4.22,126,1
09:39:21,4.22,24,-1
09:39:27,4.23,22,1
09:39:30,4.23,20,1
09:39:33,4.22,1,-1
09:39:39,4.23,246,1
09:39:45,4.23,18,1
09:39:48,4.23,10,1
09:39:57,4.22,262,-1
09:40:00,4.23,5,1
09:40:06,4.21,99,-1
09:40:09,4.21,124,-1
09:40:12,4.22,3,1
09:40:15,4.21,4,-1
09:40:21,4.21,5,-1
09:40:24,4.21,17,-1
09:40:30,4.21,34,-1
09:40:36,4.22,115,1
09:40:39,4.22,27,1
09:40:51,4.22,13,1
09:41:03,4.21,22,-1
09:41:06,4.21,47,-1
09:41:09,4.21,216,-1
09:41:21,4.22,18,1
09:41:24,4.21,6,-1
09:41:27,4.22,238,1
09:41:33,4.22,150,1
09:41:36,4.22,3,1
09:41:39,4.22,200,1
09:41:45,4.22,1,1
09:41:48,4.22,50,1
09:41:51,4.22,143,1
09:41:57,4.22,20,1
09:42:03,4.22,47,1
09:42:06,4.22,11,1
09:42:09,4.22,10,1
09:42:12,4.22,56,1
09:42:15,4.22,10,1
09:42:18,4.22,48,1
09:42:21,4.22,10,1
09:42:24,4.22,6,1
09:42:30,4.22,20,1
09:42:39,4.22,529,1
09:42:42,4.22,1,-1
09:42:45,4.22,54,-1
09:42:48,4.22,5,-1
09:42:54,4.23,726,1
09:43:00,4.24,50,1
09:43:03,4.24,32,1
09:43:06,4.24,28,1
09:43:09,4.24,237,1
09:43:18,4.25,20,1
09:43:21,4.25,20,1
09:43:24,4.25,88,1
09:43:27,4.25,86,1
09:43:30,4.25,5,1
09:43:33,4.25,172,1
09:43:39,4.24,138,-1
09:43:42,4.25,80,1
09:43:45,4.25,10,1
09:43:48,4.25,4,1
09:43:51,4.25,14,1
09:43:54,4.25,90,1
09:44:00,4.25,173,1
09:44:03,4.24,115,-1
09:44:06,4.25,1,1
09:44:09,4.25,11,1
09:44:12,4.24,125,-1
09:44:18,4.24,70,-1
09:44:21,4.24,10,-1
09:44:27,4.25,5,1
09:44:30,4.25,25,1
09:44:39,4.25,60,1
09:44:42,4.24,29,-1
09:44:48,4.24,5,-1
09:44:51,4.25,978,1
09:44:54,4.24,1,-1
09:44:57,4.24,20,-1
09:45:03,4.25,1000,1
09:45:06,4.24,12,-1
09:45:09,4.24,155,-1
09:45:21,4.24,52,-1
09:45:24,4.24,335,-1
09:45:30,4.24,176,-1
09:45:36,4.24,1,-1
09:45:39,4.24,176,-1
09:45:45,4.24,20,-1
09:45:48,4.24,3,-1
09:45:51,4.25,2,1
09:45:54,4.24,9,-1
09:46:12,4.24,120,-1
09:46:15,4.25,9,1
09:46:18,4.24,39,-1
09:46:21,4.24,267,1
09:46:24,4.23,1,-1
09:46:27,4.24,6,1
09:46:39,4.24,60,1
09:46:42,4.24,84,1
09:46:45,4.23,13,-1
09:46:54,4.24,190,1
09:46:57,4.24,51,-1
09:47:00,4.24,10,1
09:47:06,4.24,3,1
09:47:09,4.23,20,-1
09:47:15,4.24,2,1
09:47:24,4.24,66,1
09:47:33,4.24,26,1
09:47:36,4.24,1,1
09:47:39,4.23,2,-1
09:47:42,4.24,6,1
09:47:54,4.24,10,1
09:48:00,4.23,19,-1
09:48:03,4.24,57,1
09:48:06,4.23,50,-1
09:48:09,4.23,56,-1
09:48:21,4.23,30,-1
09:48:30,4.23,2,-1
09:48:36,4.23,20,-1
09:48:42,4.23,10,-1
09:48:51,4.23,114,-1
09:48:54,4.23,36,-1
09:48:57,4.24,3,1
09:49:00,4.23,24,-1
09:49:12,4.24,20,1
09:49:18,4.23,29,-1
09:49:24,4.23,5,-1
09:49:39,4.23,84,-1
09:49:42,4.24,101,1
09:49:48,4.23,166,-1
09:49:54,4.23,21,-1
09:49:57,4.24,10,1
09:50:03,4.24,32,1
09:50:12,4.24,70,1
09:50:18,4.24,357,1
09:50:21,4.24,0,1
09:50:24,4.24,8,-1
09:50:36,4.24,25,-1
09:50:48,4.25,7,1
