时间,成交价,手数,买卖盘性质
09:15:00,42.01,13,0
09:15:09,50.64,979,0
09:15:18,50.64,986,0
09:15:27,50.64,990,0
09:15:36,50.64,1040,0
09:15:45,50.64,1103,0
09:15:54,50.64,1143,0
09:16:03,50.64,971,0
09:16:12,50.64,977,0
09:16:21,50.64,1059,0
09:16:30,50.64,1090,0
09:16:39,50.64,1186,0
09:16:48,50.64,1272,0
09:16:57,50.64,1357,0
09:17:06,50.64,1507,0
09:17:15,50.64,1639,0
09:17:24,50.64,1658,0
09:17:33,50.64,1670,0
09:17:42,50.64,1746,0
09:17:51,50.64,1794,0
09:18:00,50.64,1911,0
09:18:09,50.64,1969,0
09:18:18,50.64,1966,0
09:18:27,50.64,1986,0
09:18:36,50.64,2066,0
09:18:45,50.64,2201,0
09:18:54,50.64,2244,0
09:19:03,50.64,2499,0
09:19:12,50.64,2181,0
09:19:21,50.63,986,0
09:19:30,49.72,578,0
09:19:39,50.58,577,0
09:19:48,42.26,45,0
09:20:00,42.21,47,0
09:20:27,42.26,51,0
09:20:45,42.26,51,0
09:20:54,42.29,52,0
09:21:03,42.26,59,0
09:21:12,42.26,66,0
09:21:21,42.26,68,0
09:21:30,42.26,75,0
09:21:39,42.26,90,0
09:21:48,42.26,90,0
09:21:57,42.26,111,0
09:22:06,42.26,113,0
09:22:15,42.26,163,0
09:22:24,42.26,164,0
09:22:33,42.26,165,0
09:22:42,42.26,170,0
09:22:51,42.26,170,0
09:23:00,42.26,170,0
09:23:09,42.26,170,0
09:23:18,42.26,171,0
09:23:27,42.26,174,0
09:23:36,42.26,174,0
09:23:45,42.26,220,0
09:23:54,42.26,222,0
09:24:03,42.26,222,0
09:24:12,42.26,222,0
09:24:21,42.26,272,0
09:24:30,42.3,275,0
09:24:39,42.8,294,0
09:24:48,42.8,313,0
09:24:57,42.5,379,0
09:25:00,42.42,441,-1
09:30:00,42.5,730,1
09:30:03,42.52,209,1
09:30:06,42.51,70,-1
09:30:09,42.5,185,-1
09:30:12,42.46,169,-1
09:30:15,42.43,62,-1
09:30:18,42.38,120,-1
09:30:21,42.3,79,-1
09:30:24,42.32,211,1
09:30:27,42.29,71,-1
09:30:30,42.2,61,-1
