持股机构类型,持股机构代码,持股机构简称,持股机构全称,持股数,最新持股数,持股比例,最新持股比例,占流通股比例,最新占流通股比例,持股比例增幅,占流通股比例增幅
基金,510500,南方中证500ETF,南方中证500ETF,4278.9837,4603.1637,0.74,0.8,0.75,0.8,-0.06,-0.05
QFII,80048301,瑞士信贷(香港)有限公司,瑞士信贷(香港)有限公司,2116.3136,0.0,0.37,0.0,0.37,0.0,0.37,0.37
