持股机构类型,持股机构代码,持股机构简称,持股机构全称,持股数,最新持股数,持股比例,最新持股比例,占流通股比例,最新占流通股比例,持股比例增幅,占流通股比例增幅
基金,160630,鹏华国防A,鹏华国防A,189.8488,193.6688,1.19,1.22,1.39,1.42,-0.03,-0.03
基金,001838,国投瑞银国家安全混合A,国投瑞银国家安全混合A,168.209,184.469,1.06,1.16,1.23,1.35,-0.1,-0.12
基金,161024,富国中证军工指数A,富国中证军工指数A,163.4259,193.9359,1.03,1.22,1.2,1.42,-0.19,-0.22
基金,233012,大摩多元收益债券A,大摩多元收益债券A,139.5509,0.0,0.88,0.0,1.02,0.0,0.88,1.02
基金,512710,富国中证军工龙头ETF,富国中证军工龙头ETF,130.229,142.3226,0.82,0.89,0.95,1.04,-0.07,-0.09
