60日涨跌幅,-30.58
年初至今涨跌幅,-43.16
,176
序号,177
代码,002109
名称,兴化股份
最新价,4.5
涨跌幅,4.65
涨跌额,0.2
成交量,342766.0
成交额,155746491.11
振幅,11.86
最高,4.73
最低,4.22
今开,4.28
昨收,4.3
量比,5.89
换手率,3.26
市盈率-动态,-9.65
市净率,1.21
总市值,5743214330.0
流通市值,4738251551.0
涨速,-0.88
5分钟涨跌,-0.22
60日涨跌幅,7.14
年初至今涨跌幅,-5.06
,337
序号,338
代码,000584
名称,*ST工智
最新价,2.13
涨跌幅,2.4
涨跌额,0.05
成交量,536828.0
成交额,109671080.46
振幅,9.62
最高,2.18
最低,1.98
今开,1.98
昨收,2.08
量比,6.12
换手率,7.07
市盈率-动态,294.58
市净率,2.97
总市值,1620797039.0
流通市值,1616643202.0
涨速,-0.47
5分钟涨跌,-0.93
60日涨跌幅,-26.55
年初至今涨跌幅,-45.8
,5115
序号,5116
代码,002124
名称,ST天邦
最新价,2.35
涨跌幅,-3.69
涨跌额,-0.09
成交量,1526718.0
成交额,357235848.03
振幅,4.51
最高,2.43
最低,2.32
今开,2.32
昨收,2.44
量比,5.05
换手率,9.78
市盈率-动态,2.16
市净率,1.85
总市值,5221544505.0
流通市值,3669783011.0
涨速,0.0
5分钟涨跌,0.0
60日涨跌幅,-24.68
年初至今涨跌幅,-35.26
,5403
序号,5404
代码,301005
名称,超捷股份
最新价,38.49
涨跌幅,-4.68
涨跌额,-1.89
成交量,168816.0
成交额,680301467.52
振幅,14.02
最高,43.88
最低,38.22
今开,42.0
昨收,40.38
量比,5.99
换手率,37.79
市盈率-动态,79.99
市净率,5.09
总市值,4022090492.0
流通市值,1719223400.0
涨速,0.29
5分钟涨跌,0.37
60日涨跌幅,36.73
年初至今涨跌幅,23.64
,5593
序号,5594
代码,300246
名称,宝莱特
最新价,7.85
涨跌幅,-8.4
涨跌额,-0.72
成交量,339996.0
成交额,276499356.25
振幅,11.55
最高,8.8
最低,7.81
今开,8.8
昨收,8.57
量比,5.26
换手率,16.09
市盈率-动态,143.15
市净率,1.66
总市值,2076914315.0
流通市值,1658672556.0
涨速,0.0
5分钟涨跌,0.13
60日涨跌幅,-6.99
年初至今涨跌幅,-23.79
,5604
序号,5605
代码,300262
名称,*ST巴安
最新价,1.09
涨跌幅,-16.79
涨跌额,-0.22
成交量,1071721.0
成交额,121645128.46
振幅,10.69
最高,1.21
最低,1.07
今开,1.16
昨收,1.31
量比,9.98
换手率,16.05
市盈率-动态,-33.32
市净率,10.23
总市值,730046029.0
流通市值,727903263.0
涨速,-0.91
5分钟涨跌,0.93
60日涨跌幅,-57.75
年初至今涨跌幅,-66.56
,5605
序号,5606
代码,300020
名称,*ST银江
最新价,3.42
涨跌幅,-20.09
涨跌额,-0.86
成交量,2237932.0
成交额,771983694.05
振幅,5.84
最高,3.67
最低,3.42
今开,3.42
昨收,4.28
量比,11.56
换手率,29.19
市盈率-动态,64.89
市净率,0.64
总市值,2717798671.0
流通市值,2621907377.0
涨速,0.0
5分钟涨跌,0.0
60日涨跌幅,-44.93
年初至今涨跌幅,-58.8
