301136 , 招标股份 , 12.34 , 20.04, 25.05
300270 , 中威电子 , 6.83 , 20.04, 24.98
301176 , 逸豪新材 , 17.63 , 20.01, 53.25
300552 , 万集科技 , 39.1 , 15.65, 17.43
300822 , 贝仕达克 , 16.85 , 14.78, 17.3
873806 , 云星宇 , 9.66 , 10.4, 31.47
002811 , 郑中设计 , 8.32 , 10.05, 39.03
603767 , 中马传动 , 13.5 , 10.02, 24.36
002869 , 金溢科技 , 21.65 , 10.01, 16.97
600653 , 申华控股 , 1.69 , 9.74, 11.12
600774 , 汉商集团 , 8.76 , 9.64, 14.32
301367 , 怡和嘉业 , 62.72 , 8.47, 17.7
301091 , 深城交 , 28.82 , 8.35, 13.52
300647 , 超频三 , 6.9 , 8.15, 16.92
002373 , 千方科技 , 9.84 , 7.89, 25.96
837748 , 路桥信息 , 15.1 , 7.47, 22.65
873122 , 中纺标 , 46.19 , 7.14, 15.36
301508 , 中机认检 , 42.0 , 7.09, 24.57
002331 , 皖通科技 , 6.99 , 6.72, 26.39
300795 , 米奥会展 , 21.53 , 6.69, 21.81
605577 , 龙版传媒 , 19.28 , 6.4, 28.3
600297 , 广汇汽车 , 1.33 , 6.4, 20.82
300374 , 中铁装配 , 16.6 , 6.21, 16.83
300014 , 亿纬锂能 , 43.24 , 6.03, 10.04
300098 , 高新兴 , 3.35 , 6.01, 21.57
300447 , 全信股份 , 15.52 , 5.87, 10.83
300918 , 南山智尚 , 11.28 , 5.72, 14.88
300650 , 太龙股份 , 12.76 , 5.72, 27.42
002005 , ST德豪 , 0.98 , 5.38, 16.27
600898 , *ST美讯 , 1.19 , 5.31, 16.01
000758 , 中色股份 , 5.46 , 5.2, 10.77
871753 , 天纺标 , 30.75 , 4.91, 11.14
837092 , 汉鑫科技 , 19.92 , 4.84, 12.6
603860 , 中公高科 , 28.6 , 4.57, 27.39
002055 , 得润电子 , 7.82 , 4.55, 18.79
002703 , 浙江世宝 , 12.26 , 4.43, 13.22
301550 , 斯菱股份 , 57.33 , 4.27, 18.53
000035 , 中国天楹 , 5.34 , 4.09, 13.87
002116 , 中国海诚 , 10.43 , 3.99, 26.97
301516 , 中远通 , 22.11 , 3.95, 16.59
301339 , 通行宝 , 20.95 , 3.87, 16.47
301215 , 中汽股份 , 5.44 , 3.82, 27.13
300807 , 天迈科技 , 26.18 , 3.81, 10.8
300928 , 华安鑫创 , 40.33 , 3.68, 15.05
300462 , 华铭智能 , 9.5 , 3.6, 35.92
688648 , 中邮科技 , 23.56 , 3.42, 13.1
300852 , 四会富仕 , 24.68 , 3.26, 12.0
002259 , ST升达 , 2.74 , 3.01, 13.7
601066 , 中信建投 , 21.56 , 2.96, 11.16
600962 , 国投中鲁 , 12.67 , 2.92, 10.78
600996 , 贵广网络 , 8.95 , 2.87, 15.07
301058 , 中粮科工 , 10.78 , 2.76, 15.34
300188 , 国投智能 , 12.48 , 2.72, 13.02
605058 , 澳弘电子 , 19.7 , 2.71, 21.23
603398 , 沐邦高科 , 18.42 , 2.62, 11.86
300425 , 中建环能 , 4.35 , 2.59, 11.98
002245 , 蔚蓝锂芯 , 8.21 , 2.5, 12.9
300353 , 东土科技 , 8.57 , 2.39, 13.91
002401 , 中远海科 , 16.38 , 2.38, 13.87
838275 , 驱动力 , 3.85 , 1.85, 37.55
002423 , 中粮资本 , 7.88 , 1.81, 10.73
002232 , 启明信息 , 12.18 , 1.75, 12.12
688633 , 星球石墨 , 28.2 , 1.59, 11.62
688722 , 同益中 , 11.96 , 1.53, 10.38
002552 , 宝鼎科技 , 14.27 , 1.28, 12.35
002654 , 万润科技 , 11.54 , 1.05, 13.09
300112 , 万讯自控 , 7.38 , -0.81, 21.2
603013 , 亚普股份 , 14.58 , -0.82, 16.54
000826 , 启迪环境 , 1.81 , -1.09, 18.12
002492 , 恒基达鑫 , 4.8 , -1.23, 13.45
600110 , 诺德股份 , 3.63 , -1.63, 24.15
600705 , 中航产融 , 2.54 , -1.93, 17.8
600696 , 岩石股份 , 8.89 , -2.74, 16.11
600107 , 美尔雅 , 3.71 , -3.13, 13.55
601933 , 永辉超市 , 2.78 , -3.81, 11.37
002963 , 豪尔赛 , 10.11 , -3.9, 11.07
002485 , ST雪发 , 2.68 , -3.94, 51.81
002021 , 中捷资源 , 2.13 , -4.05, 13.96
300853 , 申昊科技 , 16.46 , -4.08, 11.18
300311 , 任子行 , 3.59 , -4.27, 12.95
000823 , 超声电子 , 8.01 , -4.42, 10.72
603557 , ST起步 , 1.68 , -4.55, 11.67
301306 , 西测测试 , 46.79 , -4.55, 12.12
002288 , *ST超华 , 0.79 , -4.82, 21.03
