时间,成交价,手数,买卖盘性质
09:15:04,19.75,21,0
09:15:07,19.66,28,0
09:15:10,19.7,33,0
09:15:43,19.7,33,0
09:15:49,19.66,43,0
09:16:13,19.5,102,0
09:16:19,19.5,152,0
09:16:31,19.5,150,0
09:16:34,19.5,149,0
09:16:37,17.78,606,0
09:16:43,17.78,608,0
09:16:46,17.78,610,0
09:16:49,17.78,625,0
09:16:55,17.78,575,0
09:16:58,17.78,573,0
09:17:01,17.78,573,0
09:17:04,17.78,574,0
09:17:07,17.78,577,0
09:17:10,17.78,587,0
09:17:16,17.78,626,0
09:17:19,19.6,60,0
09:17:22,19.5,88,0
09:17:25,19.5,83,0
09:17:28,19.6,59,0
09:17:34,19.62,53,0
09:17:52,19.61,53,0
09:18:01,19.61,54,0
09:18:10,19.61,54,0
09:18:16,19.62,53,0
09:18:25,19.66,49,0
09:18:34,19.62,53,0
09:18:46,19.62,53,0
09:19:16,19.4,155,0
09:19:34,19.4,166,0
09:19:37,19.4,168,0
09:19:43,19.4,168,0
09:19:58,19.4,173,0
09:20:04,19.4,173,0
09:20:07,19.4,173,0
09:20:13,19.4,180,0
09:20:19,19.4,180,0
09:20:25,19.4,198,0
09:20:40,19.4,218,0
09:20:43,19.4,218,0
09:20:52,19.38,229,0
09:21:01,19.38,229,0
09:21:07,19.38,229,0
09:21:19,19.4,243,0
09:21:25,19.4,258,0
09:21:34,19.4,258,0
09:21:43,19.4,264,0
09:21:55,19.4,291,0
09:21:58,19.4,291,0
09:22:01,19.4,293,0
09:22:04,19.4,293,0
09:22:07,19.4,293,0
09:22:13,19.4,310,0
09:22:16,19.4,310,0
09:22:28,19.4,340,0
09:22:31,19.4,340,0
09:22:58,19.4,364,0
09:23:07,19.4,366,0
09:23:16,19.4,385,0
09:23:19,19.4,388,0
09:23:25,19.4,388,0
09:23:28,19.4,388,0
09:23:31,19.4,388,0
09:23:34,19.35,441,0
09:23:43,19.35,441,0
09:23:52,19.35,441,0
09:23:55,19.35,445,0
09:23:58,19.35,445,0
09:24:04,19.35,445,0
09:24:07,19.35,470,0
09:24:13,19.35,470,0
09:24:16,19.35,474,0
09:24:19,19.35,482,0
09:24:22,19.35,484,0
09:24:25,19.35,484,0
09:24:28,19.35,506,0
09:24:31,19.35,508,0
09:24:40,19.35,509,0
