时间,成交价,手数,买卖盘性质
09:15:00,2.87,36,0
09:15:09,2.87,811,0
09:15:27,2.87,811,0
09:15:36,2.87,854,0
09:15:54,2.87,854,0
09:16:21,2.87,854,0
09:17:51,2.87,854,0
09:18:00,2.87,894,0
09:18:09,2.87,894,0
09:18:27,2.87,894,0
09:19:03,2.87,894,0
09:19:12,2.87,958,0
09:19:30,2.87,913,0
09:19:39,2.87,1113,0
09:19:48,2.87,1113,0
09:19:57,2.87,1163,0
09:20:09,2.87,1163,0
09:20:18,2.87,1163,0
09:20:36,2.87,1163,0
09:20:45,2.87,1217,0
09:20:54,2.87,1217,0
09:21:12,2.87,1219,0
09:21:21,2.87,1259,0
09:21:30,2.87,1259,0
09:21:48,2.87,1259,0
09:22:06,2.87,1259,0
09:22:15,2.87,1259,0
09:22:42,2.87,1259,0
09:23:09,2.87,1549,0
09:23:18,2.87,1549,0
09:23:36,2.87,1722,0
09:24:03,2.87,1732,0
09:24:12,2.87,1732,0
09:24:21,2.87,1733,0
09:24:30,2.87,1733,0
09:24:39,2.86,1809,0
09:24:48,2.86,2068,0
09:24:57,2.86,2426,0
09:25:00,2.86,2426,-1
09:30:00,2.87,2042,1
09:30:03,2.86,2631,-1
09:30:06,2.87,312,1
09:30:09,2.86,142,-1
09:30:12,2.86,280,-1
09:30:15,2.86,182,-1
09:30:18,2.86,303,-1
09:30:21,2.86,150,-1
09:30:24,2.86,37,-1
09:30:27,2.86,1073,-1
09:30:30,2.86,400,1
09:30:33,2.86,53,1
09:30:36,2.86,111,1
09:30:39,2.86,130,1
09:30:42,2.85,45,-1
09:30:45,2.86,89,1
09:30:48,2.85,211,-1
09:30:54,2.86,116,1
09:30:57,2.85,18,-1
09:31:00,2.86,414,1
09:31:03,2.86,334,1
09:31:06,2.86,599,1
09:31:09,2.86,26,1
09:31:12,2.86,13,1
09:31:15,2.86,115,1
09:31:21,2.85,210,-1
09:31:24,2.86,1,1
09:31:27,2.86,168,1
09:31:30,2.86,40,1
09:31:39,2.86,21,1
09:31:42,2.85,2528,-1
09:31:45,2.85,351,-1
09:31:48,2.86,162,1
09:31:51,2.85,56,-1
09:31:54,2.86,135,1
09:31:57,2.85,51,-1
09:32:00,2.86,14,1
09:32:03,2.85,226,-1
09:32:06,2.86,203,1
09:32:09,2.86,5,1
09:32:12,2.85,11184,-1
09:32:15,2.85,5901,-1
09:32:18,2.85,374,1
09:32:21,2.85,386,1
09:32:24,2.85,15,1
09:32:27,2.85,878,1
09:32:30,2.84,90,-1
09:32:33,2.85,1005,1
09:32:36,2.84,35,-1
09:32:39,2.84,329,-1
09:32:42,2.84,418,-1
09:32:45,2.84,84,-1
09:32:48,2.84,76,-1
09:32:51,2.84,220,-1
09:32:57,2.85,28,1
09:33:00,2.84,932,-1
09:33:03,2.84,195,-1
09:33:06,2.84,175,-1
09:33:09,2.85,40,1
09:33:12,2.84,277,-1
09:33:15,2.84,31,-1
09:33:18,2.84,224,-1
09:33:21,2.84,243,-1
09:33:24,2.85,8835,1
09:33:27,2.85,35,-1
09:33:30,2.86,1090,1
09:33:33,2.86,306,1
09:33:36,2.86,115,1
09:33:39,2.86,160,1
09:33:42,2.85,213,-1
09:33:45,2.86,109,1
09:33:48,2.85,106,-1
09:33:51,2.86,21,1
09:33:54,2.86,350,1
09:34:00,2.86,105,1
09:34:03,2.86,247,1
09:34:06,2.86,55,1
09:34:09,2.86,85,1
09:34:12,2.86,123,1
09:34:15,2.86,176,1
09:34:18,2.85,94,-1
09:34:21,2.86,20,1
09:34:24,2.86,120,1
09:34:27,2.85,255,-1
09:34:30,2.86,28,1
09:34:33,2.85,4,-1
09:34:36,2.86,104,1
09:34:42,2.86,1075,1
09:34:45,2.86,74,1
09:34:48,2.86,102,1
09:34:51,2.85,31,-1
09:34:54,2.86,52,1
09:34:57,2.86,519,1
09:35:00,2.85,80,-1
09:35:03,2.86,50,1
09:35:06,2.86,1260,1
09:35:09,2.86,131,1
09:35:12,2.86,256,1
