时间,成交价,手数,买卖盘性质
09:15:00,6.09,44,0
09:15:09,6.09,57,0
09:15:18,6.22,244,0
09:15:54,6.38,294,0
09:16:21,6.22,413,0
09:16:39,6.16,294,0
09:17:06,6.22,244,0
09:17:24,6.22,294,0
09:17:33,6.22,244,0
09:18:09,6.4,385,0
09:18:27,6.4,385,0
09:18:36,6.22,294,0
09:18:54,6.22,281,0
09:19:39,6.22,295,0
09:19:48,6.22,305,0
09:20:00,6.22,364,0
09:20:36,6.22,364,0
09:20:45,6.22,370,0
09:20:54,6.22,378,0
09:21:30,6.22,380,0
09:21:39,6.23,388,0
09:22:15,6.25,389,0
09:22:24,6.25,389,0
09:22:33,6.25,389,0
09:22:42,6.25,389,0
09:22:51,6.31,427,0
09:23:00,6.33,437,0
09:23:09,6.25,648,0
09:23:18,6.25,648,0
09:23:27,6.25,673,0
09:23:36,6.25,715,0
09:23:45,6.25,715,0
09:23:54,6.22,801,0
09:24:03,6.22,898,0
09:24:12,6.22,1191,0
09:24:21,6.22,1224,0
09:24:30,6.22,1306,0
09:24:39,6.22,1321,0
09:24:48,6.22,1348,0
09:24:57,6.24,1415,0
09:25:00,6.26,2205,-1
09:30:00,6.27,1112,1
09:30:03,6.27,608,-1
09:30:06,6.27,341,-1
09:30:09,6.25,226,-1
09:30:12,6.25,98,-1
09:30:15,6.24,50,-1
09:30:18,6.22,437,-1
09:30:21,6.21,906,-1
09:30:24,6.22,385,1
09:30:27,6.22,253,1
09:30:30,6.21,487,-1
09:30:33,6.21,25,-1
09:30:36,6.21,123,1
09:30:39,6.22,149,1
09:30:42,6.22,11,-1
09:30:45,6.24,274,1
09:30:48,6.24,119,-1
09:30:51,6.23,67,-1
09:30:54,6.24,115,1
09:30:57,6.22,56,-1
09:31:00,6.22,146,1
09:31:03,6.21,50,-1
09:31:06,6.22,15,1
09:31:09,6.21,2,-1
09:31:12,6.21,163,-1
09:31:15,6.21,123,1
09:31:18,6.21,35,1
09:31:21,6.2,125,-1
09:31:24,6.21,28,1
09:31:27,6.19,100,-1
09:31:30,6.19,28,-1
09:31:33,6.19,65,-1
09:31:36,6.19,75,-1
09:31:39,6.18,152,-1
09:31:42,6.18,254,1
09:31:45,6.17,1156,-1
09:31:48,6.18,253,-1
09:31:51,6.2,45,1
09:31:54,6.18,216,-1
09:31:57,6.19,133,1
09:32:00,6.19,70,-1
09:32:03,6.19,63,-1
09:32:06,6.19,95,1
09:32:09,6.18,30,-1
09:32:12,6.18,117,-1
09:32:15,6.18,62,-1
09:32:18,6.18,199,1
09:32:21,6.17,139,-1
09:32:24,6.17,620,-1
09:32:30,6.17,5,1
09:32:33,6.16,10,-1
09:32:39,6.16,94,1
09:32:42,6.16,65,-1
09:32:45,6.14,244,-1
09:32:48,6.16,40,1
09:32:51,6.15,15,-1
09:32:54,6.16,15,1
09:32:57,6.14,89,-1
09:33:00,6.15,28,1
09:33:03,6.14,1,-1
09:33:06,6.15,14,1
09:33:09,6.15,205,-1
09:33:12,6.15,136,-1
09:33:15,6.16,54,1
09:33:18,6.16,29,1
09:33:24,6.15,339,-1
09:33:27,6.17,14,1
09:33:30,6.16,19,-1
09:33:33,6.17,32,1
09:33:36,6.17,11,-1
09:33:39,6.17,15,-1
09:33:42,6.18,114,1
09:33:45,6.18,76,1
09:33:48,6.18,12,-1
09:33:51,6.19,298,1
09:33:54,6.18,2,-1
09:33:57,6.19,197,1
09:34:00,6.18,79,-1
09:34:03,6.2,42,1
09:34:06,6.18,100,-1
09:34:09,6.19,64,1
09:34:12,6.2,58,1
09:34:15,6.2,9,1
09:34:18,6.2,92,1
09:34:21,6.2,16,-1
09:34:24,6.2,107,-1
09:34:27,6.19,5,-1
09:34:30,6.2,19,1
09:34:36,6.2,255,1
09:34:39,6.2,308,1
09:34:42,6.18,338,-1
09:34:45,6.19,13,1
