时间,成交价,手数,买卖盘性质
09:15:00,3.88,40,0
09:15:09,3.91,137,0
09:15:45,3.91,137,0
09:15:54,3.91,137,0
09:16:03,3.91,141,0
09:16:12,3.91,141,0
09:16:39,3.91,141,0
09:16:48,3.91,141,0
09:18:09,3.91,173,0
09:18:18,3.91,258,0
09:18:36,3.91,258,0
09:18:45,3.91,258,0
09:18:54,3.91,259,0
09:19:21,3.91,260,0
09:19:30,3.91,260,0
09:19:48,3.91,260,0
09:19:57,3.91,260,0
09:20:09,3.91,261,0
09:20:18,3.91,266,0
09:20:36,3.91,346,0
09:20:54,3.91,346,0
09:21:03,3.91,346,0
09:21:12,3.91,346,0
09:21:48,3.91,346,0
09:22:06,3.91,346,0
09:22:51,3.91,346,0
09:23:18,3.91,346,0
09:23:36,3.91,346,0
09:23:45,3.91,346,0
09:23:54,3.91,346,0
09:24:12,3.91,346,0
09:24:21,3.91,346,0
09:24:30,3.91,354,0
09:24:39,3.92,354,0
09:24:57,3.92,377,0
09:25:00,3.93,379,-1
09:30:00,3.97,405,1
09:30:03,3.97,420,-1
09:30:06,3.98,79,1
09:30:09,3.98,510,1
09:30:15,3.99,860,1
09:30:18,4.0,14,1
09:30:21,4.0,18,1
09:30:24,4.01,3195,1
09:30:27,4.02,138,1
09:30:30,4.03,326,1
09:30:33,4.02,386,-1
09:30:36,4.03,282,1
09:30:39,4.02,353,-1
09:30:42,4.01,42,-1
09:30:45,4.02,50,1
09:30:48,4.0,265,-1
09:30:51,4.01,242,1
09:30:54,4.0,42,-1
09:31:00,4.0,201,1
09:31:03,4.0,86,1
09:31:06,3.99,64,1
09:31:09,4.0,176,1
09:31:12,3.99,153,-1
09:31:15,4.0,131,1
09:31:18,4.0,5009,1
09:31:21,4.0,50,-1
09:31:24,4.0,112,-1
09:31:27,4.0,502,1
09:31:30,4.01,10,1
09:31:33,4.02,34,1
09:31:36,4.01,20,1
09:31:39,4.0,402,-1
09:31:42,4.0,261,1
09:31:45,4.01,10,1
09:31:48,4.0,54,-1
09:31:51,4.0,151,1
09:31:54,4.0,32,1
09:31:57,4.01,157,1
09:32:00,4.0,5,-1
09:32:03,4.0,40,-1
09:32:06,4.0,109,-1
09:32:09,4.0,135,1
09:32:12,3.99,352,-1
09:32:15,3.99,209,1
09:32:18,3.98,125,-1
09:32:24,3.97,467,-1
09:32:27,3.97,544,-1
09:32:30,3.97,665,-1
09:32:36,3.97,40,1
09:32:42,3.96,276,-1
09:32:45,3.96,135,1
09:32:48,3.96,106,1
09:32:51,3.96,54,-1
09:32:57,3.97,56,1
09:33:03,3.97,125,1
09:33:06,3.97,164,1
09:33:09,3.97,43,1
09:33:15,3.97,201,1
09:33:18,3.97,8,1
09:33:24,3.97,30,1
09:33:30,3.97,15,1
09:33:33,3.96,55,-1
09:33:36,3.97,15,1
09:33:39,3.96,34,-1
09:33:42,3.96,2,-1
09:33:51,3.97,2476,1
09:33:54,3.98,203,1
09:33:57,3.97,100,-1
09:34:00,3.99,81,1
09:34:03,3.97,164,-1
09:34:06,3.98,5,1
09:34:09,3.98,165,-1
09:34:12,3.97,48,-1
09:34:18,3.98,5,1
09:34:24,3.98,28,1
09:34:30,3.98,103,1
09:34:33,3.98,36,1
09:34:36,3.98,53,1
09:34:39,3.98,3,1
09:34:45,3.98,10,1
09:34:51,3.99,17,1
09:34:57,3.98,11,-1
09:35:00,3.98,8,-1
09:35:09,3.98,1,-1
09:35:12,3.98,7,-1
09:35:15,3.98,10,-1
09:35:27,3.98,1216,-1
09:35:30,3.98,30,1
09:35:33,3.98,104,1
09:35:42,3.98,20,1
09:35:51,3.98,265,1
09:35:54,3.98,16,1
09:35:57,3.98,382,1
09:36:00,3.98,33,1
09:36:03,3.99,25,1
09:36:06,3.99,13,1
09:36:09,3.98,21,-1
09:36:12,3.99,5,1
09:36:15,3.99,948,1
09:36:27,3.99,69,-1
09:36:30,3.99,30,1
09:36:39,3.99,4,1
09:36:42,3.99,523,1
09:36:48,4.0,540,1
09:36:51,4.0,94,1
09:36:54,3.99,16,-1
09:37:00,4.0,15,1
09:37:03,4.0,5,1
09:37:06,3.99,10,-1
09:37:18,3.99,10,-1
09:37:24,3.99,1,-1
09:37:33,4.0,5,1
09:37:36,3.99,13,-1
09:37:39,3.99,67,-1
09:37:42,4.0,1,1
09:37:45,4.0,22,1
09:37:48,4.0,300,1
09:37:51,3.99,201,-1
09:37:57,3.99,50,-1
09:38:00,4.0,48,1
09:38:06,3.99,22,-1
09:38:09,4.0,582,1
09:38:12,4.0,50,1
09:38:15,3.99,398,-1
09:38:18,3.99,234,1
09:38:24,3.99,100,1
09:38:27,3.99,10,1
09:38:30,3.99,808,1
09:38:45,3.99,60,-1
09:38:48,4.0,234,1
09:38:54,3.99,8,-1
09:39:00,4.0,37,1
09:39:03,4.0,157,1
09:39:06,4.0,76,1
09:39:09,4.0,26,1
09:39:12,4.0,67,1
09:39:15,3.99,6,-1
09:39:18,4.0,9,1
09:39:21,3.99,198,-1
09:39:24,3.99,15,-1
09:39:27,4.0,10,1
09:39:30,4.0,27,1
09:39:39,3.99,36,-1
09:39:42,3.99,37,1
09:39:45,3.99,80,1
09:39:48,3.99,3,1
09:39:57,3.99,2068,1
09:40:00,3.99,1765,-1
09:40:06,4.01,1,1
09:40:15,4.0,1,-1
09:40:18,4.0,13,-1
09:40:24,4.01,11,1
09:40:30,4.01,5,1
09:40:33,4.01,20,1
09:40:39,4.01,1,1
09:40:42,4.01,84,1
09:40:45,4.01,10,1
09:40:48,4.01,1,1
09:41:00,4.01,11,1
09:41:06,4.01,1,1
09:41:12,4.0,40,-1
09:41:15,4.0,8,-1
09:41:18,4.01,9,1
09:41:21,4.0,20,-1
09:41:24,4.0,31,-1
09:41:30,4.01,136,1
09:41:33,4.0,104,-1
09:41:36,4.0,4,-1
09:41:42,4.0,73,-1
09:41:45,4.01,54,1
09:41:54,4.0,486,-1
09:42:03,4.0,124,1
09:42:09,4.0,38,-1
09:42:12,4.0,3,-1
09:42:15,4.0,5,-1
09:42:18,4.0,62,-1
09:42:21,4.01,270,1
09:42:24,4.0,5,-1
09:42:30,4.0,20,-1
09:42:36,4.01,10,1
09:42:42,4.0,10,-1
